syndroID,EN,GR
1,Respiratory infection with fever,Λοίμωξη αναπνευστικού με πυρετό
2,Gastroenteritis without blood in the stool,Γαστρεντερίτιδα χωρίς αίμα στα κόπρανα
3,Bloody diarrhoea,Αιμορραγική διάρροια
4,Rash with fever,Εξάνθημα με πυρετό
5,Suspected scabies,Υποψία ψώρας
6,Suspected pulmonary tuberculosis,Υποψία πνευμονικής φυματίωσης
7,Malaria with positive RDT,Ελονοσία (με θετικό ταχύ τεστ)
8,"Suspected diphteria, respiratory or cutaneous","Υποψία διφθερίτιδας, αναπνευστικής ή δερματικής"
9,Jaundice of acute onset,Ίκτερος με οξεία έναρξη
10,Neurological manifestations of acute onset,Εκδηλώσεις παράλυσης με οξεία έναρξη
11,Meningitis and/or encephalitis,Μηνιγγίτιδα ή/και εγκεφαλίτιδα
12,Haemorragic manifestations with fever,Αιμορραγικές εκδηλώσεις με πυρετό
13,"Sepsis or shock (septic, of unknown etiology)","Σήψη ή σοκ (σηπτικό, άγνωστης αιτιολογίας)"
14,Death of unknown etiology,Θάνατος άγνωστης αιτιολογίας
